Vehical Number,Entering time,Exit time
ABC-5994,16/07/2025 6:00,16/07/2025 7:47
ABC-1328,16/07/2025 6:12,16/07/2025 6:49
ABC-2925,16/07/2025 6:22,16/07/2025 7:57
ABC-4691,16/07/2025 6:27,16/07/2025 7:59
ABC-7656,16/07/2025 6:48,16/07/2025 8:33
ABC-8404,16/07/2025 6:55,16/07/2025 7:53
ABC-7719,16/07/2025 6:54,16/07/2025 8:37
ABC-4629,16/07/2025 7:03,16/07/2025 8:40
ABC-4521,16/07/2025 6:40,16/07/2025 7:33
ABC-1120,16/07/2025 7:30,16/07/2025 9:07
ABC-9899,16/07/2025 8:10,16/07/2025 9:40
ABC-6830,16/07/2025 7:17,16/07/2025 7:55
ABC-6905,16/07/2025 7:36,16/07/2025 8:16
ABC-2582,16/07/2025 9:41,16/07/2025 10:44
ABC-2244,16/07/2025 7:52,16/07/2025 8:37
ABC-6049,16/07/2025 8:30,16/07/2025 10:04
ABC-6639,16/07/2025 11:20,16/07/2025 12:33
ABC-2089,16/07/2025 10:49,
ABC-6860,16/07/2025 10:12,
ABC-6598,16/07/2025 12:20,
